date,d,item_id,dept_id,cat_id,store_id,state_id,units_sold,sell_price,revenue,weekday,month,year,event_name_1,event_type_1
2015-05-24,d_1577,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,15,3.34,50.099999999999994,Sunday,5,2015,,
2015-05-25,d_1578,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.34,33.4,Monday,5,2015,MemorialDay,National
2015-05-26,d_1579,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.34,46.76,Tuesday,5,2015,,
2015-05-27,d_1580,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.34,33.4,Wednesday,5,2015,,
2015-05-28,d_1581,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,6,3.34,20.04,Thursday,5,2015,,
2015-05-29,d_1582,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.34,26.72,Friday,5,2015,,
2015-05-30,d_1583,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,5,3.34,16.7,Saturday,5,2015,,
2015-05-31,d_1584,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.34,46.76,Sunday,5,2015,,
2015-06-01,d_1585,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.34,63.459999999999994,Monday,6,2015,,
2015-06-02,d_1586,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.34,23.38,Tuesday,6,2015,,
2015-06-03,d_1587,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,8,3.34,26.72,Wednesday,6,2015,,
2015-06-04,d_1588,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.34,60.12,Thursday,6,2015,NBAFinalsStart,Sporting
2015-06-05,d_1589,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.34,63.459999999999994,Friday,6,2015,,
2015-06-06,d_1590,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,14,3.34,46.76,Saturday,6,2015,,
2015-06-07,d_1591,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,7,3.34,23.38,Sunday,6,2015,,
2015-06-08,d_1592,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,24,3.34,80.16,Monday,6,2015,,
2015-06-09,d_1593,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,19,3.34,63.459999999999994,Tuesday,6,2015,,
2015-06-10,d_1594,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,12,3.34,40.08,Wednesday,6,2015,,
2015-06-11,d_1595,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,20,3.34,66.8,Thursday,6,2015,,
2015-06-12,d_1596,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,10,3.34,33.4,Friday,6,2015,,
2015-06-13,d_1597,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,18,3.34,60.12,Saturday,6,2015,,
2015-06-14,d_1598,FOODS_2_019,FOODS_2,FOODS,CA_1,CA,13,3.34,43.42,Sunday,6,2015,,
